original,year,events
1996: Major reading initiative implemented in K–3 (AB 3482). Required any person entering a program of professional preparation to satisfactorily complete comprehensive reading instruction to meet the minimum requirements for a multiple-subject teaching credential or a single-subject teaching credential (AB3075). California Subject Matter Project began.,1996,Major reading initiative implemented in K–3 (AB 3482). Required any person entering a program of professional preparation to satisfactorily complete comprehensive reading instruction to meet the minimum requirements for a multiple-subject teaching credential or a single-subject teaching credential (AB3075). California Subject Matter Project began.
"1996: Created class-size reduction for grades 1–3, allocating nearly $1 billion for facility accommodations and teacher training, and $650 per student in those classes. Added 18,400 new classrooms with 20 students or fewer (AB 354 and SB 1777).",1996,"Created class-size reduction for grades 1–3, allocating nearly $1 billion for facility accommodations and teacher training, and $650 per student in those classes. Added 18,400 new classrooms with 20 students or fewer (AB 354 and SB 1777)."
"1996: K–12 Proposition 98 funding: $27 billion. Funding per student: $4,894. General Fund support for CDE State Operations: $36 million.",1996,"K–12 Proposition 98 funding: $27 billion. Funding per student: $4,894. General Fund support for CDE State Operations: $36 million."
"1997: Authorized STAR program (SB 376). SB 376 required students in grades 2–11 to be tested in English with State Board of Education–approved, norm-referenced tests in reading, writing, and mathematics, with spelling added in grades 2–8, and history–social science and science added in grades 9–11.",1997,"Authorized STAR program (SB 376). SB 376 required students in grades 2–11 to be tested in English with State Board of Education–approved, norm-referenced tests in reading, writing, and mathematics, with spelling added in grades 2–8, and history–social science and science added in grades 9–11."
"1997: State Board of Education (SBE) designated Stanford Achievement Test, Ninth Edition (Stanford 9), as the statewide pupil assessment.",1997,"State Board of Education (SBE) designated Stanford Achievement Test, Ninth Edition (Stanford 9), as the statewide pupil assessment."
"1997: State Board of Education (SBE) designated Spanish Assessment of Basic Education, Second Edition (SABE/2) for English learners.",1997,"State Board of Education (SBE) designated Spanish Assessment of Basic Education, Second Edition (SABE/2) for English learners."
"1997: Authorized development of English-language development (ELD) standards, and identification of tests aligned with ELD students (AB 748).",1997,"Authorized development of English-language development (ELD) standards, and identification of tests aligned with ELD students (AB 748)."
1997: State Board of Education (SBE) adopted standards for what every student should learn in every grade in English–language arts (ELA) and mathematics.,1997,State Board of Education (SBE) adopted standards for what every student should learn in every grade in English–language arts (ELA) and mathematics.
1997: Teacher reading-instruction development program established for grades 4–9. Required that contract providers of reading-staff development be approved by State Board of Education before they sell their services to districts for state-funded reading training (AB 1086). Beginning Teacher Support and Assessment (BTSA) system adopted to provide beginning teachers with focused induction support (SB 1422). California Subject Matter Project continued.,1997,Teacher reading-instruction development program established for grades 4–9. Required that contract providers of reading-staff development be approved by State Board of Education before they sell their services to districts for state-funded reading training (AB 1086). Beginning Teacher Support and Assessment (BTSA) system adopted to provide beginning teachers with focused induction support (SB 1422). California Subject Matter Project continued.
1997: 99 percent of all 1st graders and 95 percent of all 2nd graders were enrolled in smaller-sized classes.,1997,99 percent of all 1st graders and 95 percent of all 2nd graders were enrolled in smaller-sized classes.
"1997: K–12 Proposition 98 funding: $29 billion. Funding per student: $5,223. General Fund support for CDE State Operations: $36 million.",1997,"K–12 Proposition 98 funding: $29 billion. Funding per student: $5,223. General Fund support for CDE State Operations: $36 million."
1998: Stanford 9 first administered in grades 2–11.,1998,Stanford 9 first administered in grades 2–11.
1998: State Board of Education (SBE) authorized development of standards-based tests in English– language arts and mathematics as augmentations to the Stanford 9.,1998,State Board of Education (SBE) authorized development of standards-based tests in English– language arts and mathematics as augmentations to the Stanford 9.
"1998: State law passed requiring that instructional materials be aligned with standards. SBE adopted standards for what every student should learn in every grade in history, social science, and science. Schiff-Bustamante Program began providing $1 billion ($250 million per year for 4 years) for purchase of standards-aligned instructional materials.",1998,"State law passed requiring that instructional materials be aligned with standards. SBE adopted standards for what every student should learn in every grade in history, social science, and science. Schiff-Bustamante Program began providing $1 billion ($250 million per year for 4 years) for purchase of standards-aligned instructional materials."
1998: California Subject Matter Project continued. BTSA continued.,1998,California Subject Matter Project continued. BTSA continued.
1998: Program expanded to reduce class sizes in two grade 9 courses.,1998,Program expanded to reduce class sizes in two grade 9 courses.
"1998: K–12 Proposition 98 funding: $32 billion. Funding per student: $5,748. General Fund support for CDE State Operations: $36 million.",1998,"K–12 Proposition 98 funding: $32 billion. Funding per student: $5,748. General Fund support for CDE State Operations: $36 million."
1999: STAR program results first used for calculating Academic Performance Index (API) for school accountability.,1999,STAR program results first used for calculating Academic Performance Index (API) for school accountability.
1999: Standards- based test items established as augmentations to Stanford 9 for English– language arts and mathematics in grades 2–11.,1999,Standards- based test items established as augmentations to Stanford 9 for English– language arts and mathematics in grades 2–11.
1999: SABE/2 first administered in grades 2–11.,1999,SABE/2 first administered in grades 2–11.
1999: California English Language Development Test (CELDT) development and administration authorized by SB 638. State Board of Education (SBE) adopted ELD standards.,1999,California English Language Development Test (CELDT) development and administration authorized by SB 638. State Board of Education (SBE) adopted ELD standards.
1999: Legislation by then-senator Jack O'Connell authorized the California High School Exit Examination (CAHSEE) (SB 2X).,1999,Legislation by then-senator Jack O'Connell authorized the California High School Exit Examination (CAHSEE) (SB 2X).
1999: California's Public Schools Accountability Act created the Academic Performance Index (API) to measure the performance of schools and students (SB 1X).,1999,California's Public Schools Accountability Act created the Academic Performance Index (API) to measure the performance of schools and students (SB 1X).
"1999: SBE adopted standards-aligned instructional materials for history–social science, and conducted a special adoption for reading/ language arts (RLA) and mathematics. $429.2 million provided to purchase materials.",1999,"SBE adopted standards-aligned instructional materials for history–social science, and conducted a special adoption for reading/ language arts (RLA) and mathematics. $429.2 million provided to purchase materials."
"1999: California's Reading Professional Development Institutes, Governor's Reading Award Program, Principal Leadership Institute, and Governor's Teacher Scholars Program established and funded to improve quality of both reading and reading instruction in elementary schools, and to address needs of English learners (AB 2X). BTSA continued. Approximately 93 percent retention rates in the profession for first- and second-year BTSA teachers across all programs. California Subject Matter Project continued.",1999,"California's Reading Professional Development Institutes, Governor's Reading Award Program, Principal Leadership Institute, and Governor's Teacher Scholars Program established and funded to improve quality of both reading and reading instruction in elementary schools, and to address needs of English learners (AB 2X). BTSA continued. Approximately 93 percent retention rates in the profession for first- and second-year BTSA teachers across all programs. California Subject Matter Project continued."
"1999: Created the Immediate Intervention/ Underperforming Schools Program (II/USP) as part of the Public Schools Accountability Act. Gave 1,290 voluntary schools $200 per student for either 2 or 3 years.",1999,"Created the Immediate Intervention/ Underperforming Schools Program (II/USP) as part of the Public Schools Accountability Act. Gave 1,290 voluntary schools $200 per student for either 2 or 3 years."
"1999: K–12 Proposition 98 funding: $36 billion. Funding per student: $6,308. General Fund support for CDE State Operations: $44 million.",1999,"K–12 Proposition 98 funding: $36 billion. Funding per student: $6,308. General Fund support for CDE State Operations: $44 million."
"2000: SBE authorized development of standards-based writing tests in grades 4 and 7, and California Standards Tests in history–social science and science in grades 9–11.",2000,"SBE authorized development of standards-based writing tests in grades 4 and 7, and California Standards Tests in history–social science and science in grades 9–11."
2000: State Board of Education (SBE) adopted test blueprints/items.,2000,State Board of Education (SBE) adopted test blueprints/items.
2000: API base rankings released for first time. API consisted solely of Norm-Referenced Test (NRT).,2000,API base rankings released for first time. API consisted solely of Norm-Referenced Test (NRT).
2000: SBE adopted standards-based history–social science framework. SBE adopted standards-aligned instructional materials for science. Mathematics and RLA frameworks adopted.,2000,SBE adopted standards-based history–social science framework. SBE adopted standards-aligned instructional materials for science. Mathematics and RLA frameworks adopted.
"2000: English-language development Professional Development Institutes established to provide 120 hours of intensive, standards-based training to teachers of English learners. Provided $29 million to train 15,000 teachers serving English learners in grades 4–8. California Subject Matter Project continued. BTSA continued.",2000,"English-language development Professional Development Institutes established to provide 120 hours of intensive, standards-based training to teachers of English learners. Provided $29 million to train 15,000 teachers serving English learners in grades 4–8. California Subject Matter Project continued. BTSA continued."
2000: Continued II/USP.,2000,Continued II/USP.
2000: Small-School District flexibility enacted for one-school districts.,2000,Small-School District flexibility enacted for one-school districts.
"2000: K–12 Proposition 98 funding: $38 billion. Funding per student: $6,678. General Fund support for CDE State Operations: $59 million.",2000,"K–12 Proposition 98 funding: $38 billion. Funding per student: $6,678. General Fund support for CDE State Operations: $59 million."
"2001: Reauthorized STAR program (SB 233).This reauthorization bill moved the California Standards Tests in history–social science and science from grade 9 to grade 8, eliminated the Golden State Examinations (GSEs), created the grade 8–9 general mathematics California Standards Test, and directed an increasing emphasis of the California Standards Tests over the norm-referenced test.",2001,"Reauthorized STAR program (SB 233).This reauthorization bill moved the California Standards Tests in history–social science and science from grade 9 to grade 8, eliminated the Golden State Examinations (GSEs), created the grade 8–9 general mathematics California Standards Test, and directed an increasing emphasis of the California Standards Tests over the norm-referenced test."
2001: California Standards Tests in history–social science and science administered in grades 9–11. California writing tests administered in grades 4 and 7.,2001,California Standards Tests in history–social science and science administered in grades 9–11. California writing tests administered in grades 4 and 7.
"2001: Annual assessment of English learners and Annual Measurable Achievement Objectives (AMAOs) required for federal No Child Left Behind Act (NCLB), Title III.",2001,"Annual assessment of English learners and Annual Measurable Achievement Objectives (AMAOs) required for federal No Child Left Behind Act (NCLB), Title III."
"2001: Test administered to volunteer 9th graders (class of 2004). Assembly Bill 1609 removed 9th-grade option, required a study of exam, and provided option to delay the exam based on the study.",2001,"Test administered to volunteer 9th graders (class of 2004). Assembly Bill 1609 removed 9th-grade option, required a study of exam, and provided option to delay the exam based on the study."
2001: API added California Standards Test in English–language arts (ELA) to base with NRT.,2001,API added California Standards Test in English–language arts (ELA) to base with NRT.
2001: Congress reauthorized ESEA as No Child Left Behind Act (NCLB).,2001,Congress reauthorized ESEA as No Child Left Behind Act (NCLB).
2001: SBE adopted standards-aligned instructional materials for mathematics. History–social science and foreign language frameworks adopted.,2001,SBE adopted standards-aligned instructional materials for mathematics. History–social science and foreign language frameworks adopted.
"2001: Teachers of reading and math provided with intensive professional development in academic content standards(AB 466).Training for principals and vice principals established to focus on building leadership, improving accountability, standards-based instruction, curriculum frameworks, instructional materials, and use of pupil assessment data (AB 75). BTSA funded at $104.6 million, providing 29,000 teachers with instruction and support. California Subject Matter Project continued. BTSA expanded and funded at $104.6 million, providing 29,000 teachers with instruction and support.",2001,"Teachers of reading and math provided with intensive professional development in academic content standards(AB 466).Training for principals and vice principals established to focus on building leadership, improving accountability, standards-based instruction, curriculum frameworks, instructional materials, and use of pupil assessment data (AB 75). BTSA funded at $104.6 million, providing 29,000 teachers with instruction and support. California Subject Matter Project continued. BTSA expanded and funded at $104.6 million, providing 29,000 teachers with instruction and support."
"2001: Continued II/USP. Introduced the High Priority School Grant Program (HPSGP) for lowest-performing schools, giving schools $400 per student for 3–4 years.",2001,"Continued II/USP. Introduced the High Priority School Grant Program (HPSGP) for lowest-performing schools, giving schools $400 per student for 3–4 years."
"2001: K–12 Proposition 98 funding: $39 billion. Funding per student: $6,618. General Fund support for CDE State Operations: $60 million.",2001,"K–12 Proposition 98 funding: $39 billion. Funding per student: $6,618. General Fund support for CDE State Operations: $60 million."
"2002: SBE designated California Achievement Test, Sixth Edition Survey (CAT/6 Survey), as Norm-Referenced Test (NRT).",2002,"SBE designated California Achievement Test, Sixth Edition Survey (CAT/6 Survey), as Norm-Referenced Test (NRT)."
2002: Mathematics standards-based tests (augmented items) in grades 8–11 separated from the Norm-Referenced Test; became stand-alone tests.,2002,Mathematics standards-based tests (augmented items) in grades 8–11 separated from the Norm-Referenced Test; became stand-alone tests.
2002: State Board of Education (SBE) approved development of the California Alternate Performance Assessment (CAPA) for students with significant cognitive disabilities to meet federal No Child Left Behind Act (NCLB) requirements.,2002,State Board of Education (SBE) approved development of the California Alternate Performance Assessment (CAPA) for students with significant cognitive disabilities to meet federal No Child Left Behind Act (NCLB) requirements.
2002: SBE redesignated SABE/2.,2002,SBE redesignated SABE/2.
2002: Second annual administration completed.,2002,Second annual administration completed.
